,Country,Date,value
76848,Australia,01/01/90,17333.1
76849,Australia,01/01/91,17793.6
76850,Australia,01/01/92,18189.34
76851,Australia,01/01/93,19130.89
76852,Australia,01/01/94,20063.81
76853,Australia,01/01/95,20894.4
76854,Australia,01/01/96,21972.05
76855,Australia,01/01/97,22934.79
76856,Australia,01/01/98,24196.72
76857,Australia,01/01/99,25250.51
76858,Australia,01/01/00,26316.73
76859,Australia,01/01/01,27325.05
76860,Australia,01/01/02,28706.44
76861,Australia,01/01/03,29681.6
76862,Australia,01/01/04,31297.4
76863,Australia,01/01/05,32539.08
76864,Australia,01/01/06,34282.17
76865,Australia,01/01/07,36511.69
76866,Australia,01/01/08,37409.16
76867,Australia,01/01/09,40241.37
76868,Australia,01/01/10,39259.94
76869,Australia,01/01/11,41894.17
76870,Australia,01/01/12,42750.87
76871,Australia,01/01/13,45829.59
76872,Australia,01/01/14,46799.45
76873,Australia,01/01/15,46185.09
76874,Australia,01/01/16,47274.26
76875,Australia,01/01/17,49378.28
76876,Austria,01/01/90,19442.31
76877,Austria,01/01/91,20585.02
76878,Austria,01/01/92,21259.64
76879,Austria,01/01/93,21698.31
76880,Austria,01/01/94,22606.83
76881,Austria,01/01/95,23660.41
76882,Austria,01/01/96,24529.21
76883,Austria,01/01/97,25424.07
76884,Austria,01/01/98,26674.61
76885,Austria,01/01/99,27606.48
76886,Austria,01/01/00,29380.07
76887,Austria,01/01/01,29715.22
76888,Austria,01/01/02,31178.69
76889,Austria,01/01/03,32108.63
76890,Austria,01/01/04,33743.04
76891,Austria,01/01/05,35013.71
76892,Austria,01/01/06,37623.08
76893,Austria,01/01/07,39392.54
76894,Austria,01/01/08,41316.23
76895,Austria,01/01/09,40926.52
76896,Austria,01/01/10,42006.05
76897,Austria,01/01/11,44452.73
76898,Austria,01/01/12,46457.35
76899,Austria,01/01/13,47922.05
76900,Austria,01/01/14,48799.72
76901,Austria,01/01/15,49877.71
76902,Austria,01/01/16,51655.5
76903,Austria,01/01/17,53879.3
76904,Belgium,01/01/90,18759
76905,Belgium,01/01/91,19675.63
76906,Belgium,01/01/92,20349.33
76907,Belgium,01/01/93,20550.64
76908,Belgium,01/01/94,21600.13
76909,Belgium,01/01/95,22531.72
76910,Belgium,01/01/96,22891.1
76911,Belgium,01/01/97,23927.51
76912,Belgium,01/01/98,24563.98
76913,Belgium,01/01/99,25642.26
76914,Belgium,01/01/00,27988.47
76915,Belgium,01/01/01,28958.49
76916,Belgium,01/01/02,30482.78
76917,Belgium,01/01/03,31056.43
76918,Belgium,01/01/04,32237.97
76919,Belgium,01/01/05,33332.33
76920,Belgium,01/01/06,35386.24
76921,Belgium,01/01/07,36872.63
76922,Belgium,01/01/08,38133.5
76923,Belgium,01/01/09,38008.83
76924,Belgium,01/01/10,40051.96
76925,Belgium,01/01/11,41284.15
76926,Belgium,01/01/12,42435.91
76927,Belgium,01/01/13,43611.07
76928,Belgium,01/01/14,44604.51
76929,Belgium,01/01/15,45582.1
76930,Belgium,01/01/16,47220.36
76931,Belgium,01/01/17,49366.68
76932,Canada,01/01/90,20101.44
76933,Canada,01/01/91,20064.65
76934,Canada,01/01/92,20450.54
76935,Canada,01/01/93,21257.05
76936,Canada,01/01/94,22469.51
76937,Canada,01/01/95,23360.67
76938,Canada,01/01/96,23912.69
76939,Canada,01/01/97,25099.38
76940,Canada,01/01/98,26139.89
76941,Canada,01/01/99,27656.68
76942,Canada,01/01/00,29185.14
76943,Canada,01/01/01,30048.57
76944,Canada,01/01/02,30851.31
76945,Canada,01/01/03,32192.47
76946,Canada,01/01/04,33739.57
76947,Canada,01/01/05,36134.6
76948,Canada,01/01/06,37999.82
76949,Canada,01/01/07,39441.12
76950,Canada,01/01/08,40277.62
76951,Canada,01/01/09,38797.76
76952,Canada,01/01/10,40011.94
76953,Canada,01/01/11,41565.27
76954,Canada,01/01/12,42145.1
76955,Canada,01/01/13,44101.47
76956,Canada,01/01/14,45519.79
76957,Canada,01/01/15,44406.67
76958,Canada,01/01/16,44819.11
76959,Canada,01/01/17,46509.72
76960,Czechia,01/01/90,12659.85
76961,Czechia,01/01/91,11595.62
76962,Czechia,01/01/92,11787.74
76963,Czechia,01/01/93,12061.95
76964,Czechia,01/01/94,12673.35
76965,Czechia,01/01/95,13752.51
76966,Czechia,01/01/96,14583.43
76967,Czechia,01/01/97,14730.62
76968,Czechia,01/01/98,14906.4
76969,Czechia,01/01/99,15324.11
76970,Czechia,01/01/00,16190.81
76971,Czechia,01/01/01,17554.49
76972,Czechia,01/01/02,18189.23
76973,Czechia,01/01/03,19426.09
76974,Czechia,01/01/04,20799.16
76975,Czechia,01/01/05,21956.38
76976,Czechia,01/01/06,23776.49
76977,Czechia,01/01/07,26124.9
76978,Czechia,01/01/08,27844.8
76979,Czechia,01/01/09,27599.3
76980,Czechia,01/01/10,27667.43
76981,Czechia,01/01/11,28797.42
76982,Czechia,01/01/12,29047.25
76983,Czechia,01/01/13,30485.71
76984,Czechia,01/01/14,32263.32
76985,Czechia,01/01/15,33691.42
76986,Czechia,01/01/16,35230.52
76987,Czechia,01/01/17,38019.58
76988,Denmark,01/01/90,18215.51
76989,Denmark,01/01/91,19044.47
76990,Denmark,01/01/92,19794.11
76991,Denmark,01/01/93,20197.84
76992,Denmark,01/01/94,21655.92
76993,Denmark,01/01/95,22661.06
76994,Denmark,01/01/96,23711.02
76995,Denmark,01/01/97,24925.79
76996,Denmark,01/01/98,25813.65
76997,Denmark,01/01/99,26653.83
76998,Denmark,01/01/00,28662.11
76999,Denmark,01/01/01,29449.61
77000,Denmark,01/01/02,30640.35
77001,Denmark,01/01/03,30786.24
77002,Denmark,01/01/04,32908.69
77003,Denmark,01/01/05,34150.16
77004,Denmark,01/01/06,37295.65
77005,Denmark,01/01/07,38968.51
77006,Denmark,01/01/08,41278.33
